name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;511;0;419;3085;1052;3085;1052;0
header;225;126;225;160;1847;160;1847;126
A;1025;183;1025;214;1047;214;1047;183
C;563;235;563;254;577;254;577;235
A;1033;450;1033;453;1035;453;1035;450
A;551;921;551;945;565;945;565;921
A;652;974;652;982;658;982;658;974
A;616;1113;616;1121;623;1121;623;1113
B;1016;1545;1016;1574;1038;1574;1038;1545
A;505;1716;505;1717;505;1717;505;1716
C;1014;2213;1014;2240;1035;2240;1035;2213
A;958;2917;958;2924;960;2924;960;2917
