name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;398;0;560;3097;1644;3097;1873;0
header;239;131;239;169;1856;169;1856;131
A;1042;197;1042;223;1062;223;1062;197
A;1332;551;1332;551;1335;551;1335;551
A;1773;663;1773;669;1778;669;1778;663
B;1194;691;1194;718;1223;718;1223;691
B;1043;862;1043;890;1063;890;1063;862
A;1661;1242;1661;1249;1668;1249;1668;1242
A;890;1274;890;1274;891;1274;891;1274
C;1042;1531;1042;1562;1064;1562;1064;1531
B;1642;1736;1642;1762;1670;1762;1670;1736
A;1257;2031;1257;2038;1264;2038;1264;2031
A;1431;2078;1431;2090;1438;2090;1438;2078
D;1046;2202;1046;2231;1069;2231;1069;2202
C;849;2561;849;2578;863;2578;863;2561
A;1642;2993;1642;3001;1661;3001;1661;2993
